Problem,Ha,pHa,La,Hb,pHb,Lb,Manipulation,Amb,LotShape,LotNum,Corr,av1,ap1,av2,ap2,bv1,bp1,bv2,bp2,bv3,bp3,bv4,bp4,bv5,bp5,bv6,bp6,bv7,bp7,bv8,bp8,bv9,bp9,bv10,bp10,B1,B2,B3,B4,B5,evA,evB,minA,minB,dMins,maxA,maxB,dMaxs,UEVa,UEVb,dEV0,dEV,dEVfb,dUniEV,EVsa,EVsb,dSignEV,dMins,sdA,sdB,countA,countB,usdA,usdB,ssdA,ssdB,dSD,SignMax,RatioMin
31,4,1,4,40,0.6,-44,abstract,1,-,1,0,4,1,0,0,-44,0.4,40,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2321,0.3086,0.3432,0.4074,0.3654,4,6.4,0,-44,-44,4,40,36,2,-0.4,-17.46666667,2.4,-7.533333333,-2.4,1,0.2,-0.8,-44,0,41.15142768,2,10,2,18.79659544,0,0.979795897,41.15142768,1,0
32,24,0.75,-4,82,0.25,3,abstract,0,-,1,0,-4,0.25,24,0.75,3,0.75,82,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6815,0.684,0.6741,0.6691,0.6864,17,22.75,-4,0,4,24,82,58,10,8.5,5.75,5.75,5.75,-1.5,0.5,1,0.5,4,12.12435565,34.20800345,2,10,14,23.30772404,0.866025404,0,22.0836478,1,0
33,-3,1,-3,14,0.4,-22,abstract,0,-,1,0,-3,1,0,0,-22,0.6,14,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3259,0.279,0.3062,0.2469,0.2198,-3,-7.6,-3,-22,-19,0,14,14,-1.5,-0.8,-4.6,-4.6,-4.6,0.7,-1,-0.2,0.8,-19,0,17.63632615,2,10,1.5,8.176062622,0,0.979795897,17.63632615,1,0.136363636
34,7,1,7,27,0.1,4,abstract,0,Symm,3,0,7,1,0,0,4,0.9,26,0.025,27,0.05,28,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0.3877,0.4469,0.4272,0.4123,0.4025,7,6.3,0,0,0,7,28,21,3.5,8.5,-0.7,-0.7,-0.7,5,1,1,0,0,0,6.903622238,2,10,3.5,10.2420701,0,0,6.903622238,1,1
35,-5,1,-5,47,0.01,-15,abstract,0,-,1,0,-5,1,0,0,-15,0.99,47,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1753,0.0889,0.042,0.0272,0.0494,-5,-14.38,-5,-15,-10,0,47,47,-2.5,3.2,-9.38,-9.38,-9.38,5.7,-1,-0.98,0.02,-10,0,6.16892211,2,10,2.5,14.9989333,0,0.198997487,6.16892211,1,0.333333333
36,28,1,28,88,0.6,-46,abstract,0,R-skew,3,0,28,1,0,0,-46,0.4,86,0.3,88,0.15,92,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.3926,0.5457,0.558,0.6025,0.5679,28,34.4,0,-46,-46,28,92,64,14,22,6.4,6.4,6.4,8,1,0.2,-0.8,-46,0,65.67373904,2,10,14,42.39811317,0,0.979795897,65.67373904,1,0
37,23,0.9,0,64,0.4,-7,abstract,0,-,1,0,0,0.1,23,0.9,-7,0.6,64,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3802,0.4099,0.4198,0.3679,0.3728,20.7,21.4,0,-7,-7,23,64,41,11.5,5.7,0.7,0.7,0.7,-5.8,0.9,-0.2,-1.1,-7,6.9,34.78275435,2,10,11.5,18.86843926,0.3,0.979795897,27.88275435,1,0
38,24,1,24,34,0.05,28,abstract,0,-,1,0,24,1,0,0,28,0.95,34,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9086,0.9778,0.9901,1,1,24,28.3,0,0,0,24,34,10,12,6.2,4.3,4.3,4.3,-5.8,1,1,0,0,0,1.307669683,2,10,12,11.17175009,0,0,1.307669683,1,1
39,29,1,29,33,0.8,6,abstract,0,Symm,5,0,29,1,0,0,6,0.2,31,0.05,32,0.2,33,0.3,34,0.2,35,0.05,0,0,0,0,0,0,0,0,0.4988,0.6889,0.6963,0.684,0.6642,29,27.6,0,0,0,29,35,6,14.5,17.1,-1.4,-1.4,-1.4,2.6,1,1,0,0,0,10.83697375,2,10,14.5,11.82057528,0,0,10.83697375,1,1
40,3,0.8,-37,79,0.4,-46,abstract,0,L-skew,7,0,-37,0.2,3,0.8,-46,0.6,-41,0.00625,23,0.00625,55,0.0125,71,0.025,79,0.05,83,0.1,85,0.2,0,0,0,0,0.4864,0.5358,0.6049,0.6,0.563,-5,4,-37,-46,-9,3,85,82,-17,30.9,9,9,9,47.9,0.6,-0.2125,-0.8125,-9,16,62.26716631,2,10,20,46.14030776,0.8,0.977161067,46.26716631,1,0.804347826
41,29,1,29,44,0.4,21,abstract,0,Symm,5,0,29,1,0,0,21,0.6,42,0.025,43,0.1,44,0.15,45,0.1,46,0.025,0,0,0,0,0,0,0,0,0.684,0.7309,0.7432,0.679,0.6765,29,30.2,0,0,0,29,46,17,14.5,24.1,1.2,1.2,1.2,9.6,1,1,0,0,0,11.28538878,2,10,14.5,14.14093349,0,0,11.28538878,1,1
42,-6,1,-6,54,0.1,-21,abstract,1,-,1,0,-6,1,0,0,-21,0.9,54,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6049,0.4765,0.2543,0.2272,0.1975,-6,-13.5,-6,-21,-15,0,54,54,-3,3.3,-1.9,-7.5,-4.7,6.3,-1,-0.8,0.2,-15,0,22.5,2,10,3,17.77914509,0,0.6,22.5,1,0.285714286
43,14,1,14,12,0.9,9,abstract,0,-,1,0,14,1,0,0,9,0.1,12,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1284,0.0444,0.0025,0,0.0049,14,11.7,0,0,0,14,12,-2,7,2.1,-2.3,-2.3,-2.3,-4.9,1,1,0,0,0,0.9,2,10,7,3.816018868,0,0,0.9,1,1
44,23,1,23,24,0.99,-33,abstract,0,-,1,0,23,1,0,0,-33,0.01,24,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2741,0.437,0.4691,0.4938,0.4667,23,23.43,0,-33,-33,23,24,1,11.5,-0.9,0.43,0.43,0.43,-12.4,1,0.98,-0.02,-33,0,5.671428392,2,10,11.5,12.84686732,0,0.198997487,5.671428392,1,0
45,13,1,13,13,1,13,abstract,0,Symm,9,0,13,1,0,0,9,0.00390625,10,0.03125,11,0.109375,12,0.21875,13,0.2734375,14,0.21875,15,0.109375,16,0.03125,17,0.00390625,0,0,0.4963,0.558,0.5852,0.5333,0.5235,13,13,0,0,0,13,17,4,6.5,11.7,0,0,0,5.2,1,1,0,0,0,1.414213562,2,10,6.5,2.742444165,0,0,1.414213562,1,1
46,37,0.01,9,30,0.6,-37,abstract,0,-,1,0,9,0.99,37,0.01,-37,0.4,30,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2691,0.2716,0.3062,0.3012,9.28,3.2,9,-37,-46,37,30,-7,23,-0.7,-6.08,-6.08,-6.08,-23.7,1,0.2,-0.8,-46,2.785964824,32.82316255,2,10,14,15.03389504,0,0.979795897,30.03719773,1,0.243243243
47,11,1,11,57,0.2,-5,abstract,0,L-skew,6,0,11,1,0,0,-5,0.8,0,0.00625,32,0.00625,48,0.0125,56,0.025,60,0.05,62,0.1,0,0,0,0,0,0,0.2148,0.1951,0.2099,0.158,0.1457,11,7.4,0,-5,-5,11,62,51,5.5,25.3,-3.6,-3.6,-3.6,19.8,1,-0.60625,-1.60625,-5,0,25.36217656,2,10,5.5,23.68930138,0,0.791334909,25.36217656,1,0
48,-2,1,-2,24,0.5,-24,abstract,1,-,1,0,-2,1,0,0,-24,0.5,24,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3901,0.4938,0.516,0.4469,0.4198,-2,0,-2,-24,-22,0,24,24,-1,0,-6.666666667,2,-2.333333333,1,-1,0,1,-22,0,24,2,10,1,10.73312629,0,1,24,1,0.083333333
49,23,1,23,23,1,23,abstract,0,Symm,3,0,23,1,0,0,22,0.25,23,0.5,24,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5383,0.4963,0.4938,0.484,0.4765,23,23,0,0,0,23,24,1,11.5,6.9,0,0,0,-4.6,1,1,0,0,0,0.707106781,2,10,11.5,8.829665905,0,0,0.707106781,1,1
50,4,1,4,4,1,4,abstract,0,Symm,9,0,4,1,0,0,0,0.00390625,1,0.03125,2,0.109375,3,0.21875,4,0.2734375,5,0.21875,6,0.109375,7,0.03125,8,0.00390625,0,0,0.437,0.6568,0.5975,0.5704,0.5728,4,4,0,0,0,4,8,4,2,3.6,0,0,0,1.6,1,0.99609375,-0.00390625,0,0,1.414213562,2,10,2,2.478709342,0,0.06237781,1.414213562,1,1
51,42,0.8,-18,68,0.2,23,abstract,0,-,1,0,-18,0.2,42,0.8,23,0.8,68,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7926,0.7086,0.7358,0.716,0.7037,30,32,-18,0,18,42,68,26,12,9.1,2,2,2,-2.9,0.6,1,0.4,18,24,18,2,10,30,19.1374502,0.8,0,-6,1,0
52,46,0.2,0,46,0.25,-2,abstract,0,-,1,0,0,0.8,46,0.2,-2,0.75,46,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0.2617,0.2543,0.2222,0.2173,9.2,10,0,-2,-2,46,46,0,23,4.4,0.8,0.8,0.8,-18.6,0.2,-0.5,-0.7,-2,18.4,20.78460969,2,10,23,13.30984598,0.4,0.866025404,2.384609691,1,0
53,28,1,28,42,0.75,-22,abstract,0,-,1,0,28,1,0,0,-22,0.25,42,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3556,0.4272,0.4173,0.4148,0.4148,28,26,0,-22,-22,28,42,14,14,2,-2,-2,-2,-12,1,0.5,-0.5,-22,0,27.71281292,2,10,14,14.75127113,0,0.866025404,27.71281292,1,0
