Problem,Ha,pHa,La,Hb,pHb,Lb,Manipulation,Amb,LotShape,LotNum,Corr,av1,ap1,av2,ap2,bv1,bp1,bv2,bp2,bv3,bp3,bv4,bp4,bv5,bp5,bv6,bp6,bv7,bp7,bv8,bp8,bv9,bp9,bv10,bp10,B1,B2,B3,B4,B5,evA,evB,minA,minB,dMins,maxA,maxB,dMaxs,UEVa,UEVb,dEV0,dEV,dEVfb,dUniEV,EVsa,EVsb,dSignEV,dMins,sdA,sdB,countA,countB,usdA,usdB,ssdA,ssdB,dSD,SignMax,RatioMin
91,7,1,7,16,0.1,10,0,0,-,1,0,7,1,,,10,0.9,16,0.1,,,,,,,,,,,,,,,,,0.92,0.96,0.99,0.99,1,7,10.6,7,10,3,7,16,9,7,13,3.6,3.6,3.6,6,1,1,0,3,0,1.8,1,2,0,3,0,0,1.8,1,0.7
92,8,0.8,-37,102,0.2,-29,0,0,-,1,0,-37,0.2,8,0.8,-29,0.8,102,0.2,,,,,,,,,,,,,,,,,0.39,0.28,0.35,0.31,0.32,-1,-2.8,-37,-29,8,8,102,94,-14.5,36.5,-1.8,-1.8,-1.8,51,0.6,-0.6,-1.2,8,18,52.4,2,2,22.5,65.5,0.8,0.8,34.4,1,0.783783784
93,5,1,5,103,0.1,-9,1,1,L-skew,4,0,5,1,,,-9,0.9,92,0.0125,100,0.0125,104,0.025,106,0.05,,,,,,,,,,,0.56,0.48,0.44,0.33,0.3,5,2.2,5,-9,-14,5,106,101,5,78.6,19.86666667,-2.8,8.533333333,73.6,1,-0.8,-1.8,-14,0,33.63123548,1,5,0,44.06177482,0,0.6,33.63123548,1,0.555555556
94,7,1,7,6,0.75,1,0,0,-,1,0,7,1,,,1,0.25,6,0.75,,,,,,,,,,,,,,,,,0.1,0.04,0.02,0.03,0.02,7,4.75,7,1,-6,7,6,-1,7,3.5,-2.25,-2.25,-2.25,-3.5,1,1,0,-6,0,2.165063509,1,2,0,2.5,0,0,2.165063509,1,0.142857143
95,-3,0.05,-9,42,0.4,-24,1,0,L-skew,6,1,-9,0.95,-3,0.05,-24,0.6,-15,0.0125,17,0.0125,33,0.025,41,0.05,45,0.1,47,0.2,,,,,,,0.72,0.6,0.57,0.57,0.57,-8.7,2.4,-9,-24,-15,-3,47,50,-6,20.57142857,11.1,11.1,11.1,26.57142857,-1,-0.225,0.775,-15,1.307669683,33.19397536,2,7,3,27.07585716,0,0.974358763,31.88630567,1,0.375
96,35,0.5,-47,-10,0.75,-15,0,0,-,1,0,-47,0.5,35,0.5,-15,0.25,-10,0.75,,,,,,,,,,,,,,,,,0.3,0.34,0.37,0.34,0.31,-6,-11.25,-47,-15,32,35,-10,-45,-6,-12.5,-5.25,-5.25,-5.25,-6.5,0,-1,-1,32,41,2.165063509,2,2,41,2.5,1,0,-38.83493649,1,0.319148936
97,10,1,10,45,0.2,-5,0,0,-,1,0,10,1,,,-5,0.8,45,0.2,,,,,,,,,,,,,,,,,0.22,0.14,0.27,0.24,0.21,10,5,10,-5,-15,10,45,35,10,20,-5,-5,-5,10,1,-0.6,-1.6,-15,0,20,1,2,0,25,0,0.8,20,1,0.5
98,94,0.5,-40,36,0.75,-21,2,0,Symm,7,0,-40,0.5,94,0.5,-21,0.25,33,0.01171875,34,0.0703125,35,0.17578125,36,0.234375,37,0.17578125,38,0.0703125,39,0.01171875,,,,,0.51,0.45,0.43,0.44,0.45,27,21.75,-40,-21,19,94,39,-55,27,28.875,-5.25,-5.25,-5.25,1.875,0,0.5,0.5,19,67,24.70450364,2,8,67,18.94358401,1,0.866025404,-42.29549636,1,0.525
99,22,1,22,44,0.4,15,2,0,Symm,5,0,22,1,,,15,0.6,42,0.025,43,0.1,44,0.15,45,0.1,46,0.025,,,,,,,,,0.65,0.74,0.75,0.71,0.71,22,26.6,22,15,-7,22,46,24,22,39.16666667,4.6,4.6,4.6,17.16666667,1,1,0,-7,0,14.22111107,1,6,0,10.88449458,0,0,14.22111107,1,0.681818182
100,18,0.6,-29,-1,1,-1,0,0,-,1,0,-29,0.4,18,0.6,-1,1,,,,,,,,,,,,,,,,,,,0.54,0.46,0.5,0.54,0.53,-0.8,-1,-29,-1,28,18,-1,-19,-5.5,-1,-0.2,-0.2,-0.2,4.5,0.2,-1,-1.2,28,23.02520358,0,2,1,23.5,0,0.979795897,0,-23.02520358,1,0.034482759
101,28,1,28,73,0.05,27,2,0,Symm,3,0,28,1,,,27,0.95,72,0.0125,73,0.025,74,0.0125,,,,,,,,,,,,,0.83,0.83,0.79,0.77,0.76,28,29.3,28,27,-1,28,74,46,28,61.5,1.3,1.3,1.3,33.5,1,1,0,-1,0,10.02671432,1,4,0,19.93113143,0,1.11022E-16,10.02671432,1,0.964285714
102,11,1,11,25,0.5,-3,2,1,Symm,3,0,11,1,,,-3,0.5,24,0.125,25,0.25,26,0.125,,,,,,,,,,,,,0.39,0.51,0.59,0.62,0.59,11,11,11,-3,-14,11,26,15,11,18,-2.333333333,0,-1.166666667,7,1,0,-1,-14,0,14.00892573,1,4,0,12.1449578,0,1,14.00892573,1,0.272727273
103,27,0.8,-4,77,0.1,22,1,0,R-skew,6,-1,-4,0.2,27,0.8,22,0.9,72,0.05,74,0.025,78,0.0125,86,0.00625,102,0.003125,134,0.003125,,,,,,,0.83,0.82,0.73,0.78,0.77,20.8,27.5,-4,22,26,27,134,107,11.5,81.14285714,6.7,6.7,6.7,69.64285714,0.6,1,0.4,26,12.4,16.92187933,2,7,15.5,31.38438452,0.8,0,4.521879328,1,0.181818182
104,-6,1,-6,3,0.99,-27,0,0,-,1,0,-6,1,,,-27,0.01,3,0.99,,,,,,,,,,,,,,,,,0.85,0.95,0.98,0.97,0.98,-6,2.7,-6,-27,-21,-6,3,9,-6,-12,8.7,8.7,8.7,-6,-1,0.98,1.98,-21,0,2.984962311,1,2,0,15,0,0.198997487,2.984962311,1,0.222222222
105,30,1,30,90,0.01,36,0,0,-,1,0,30,1,,,36,0.99,90,0.01,,,,,,,,,,,,,,,,,0.9,0.97,1,1,1,30,36.54,30,36,6,30,90,60,30,63,6.54,6.54,6.54,33,1,1,0,6,0,5.37293216,1,2,0,27,0,0,5.37293216,1,0.833333333
106,2,1,2,34,0.05,-5,2,0,Symm,5,0,2,1,,,-5,0.95,32,0.003125,33,0.0125,34,0.01875,35,0.0125,36,0.003125,,,,,,,,,0.2,0.14,0.15,0.15,0.12,2,-3.05,2,-5,-7,2,36,34,2,27.5,-5.05,-5.05,-5.05,25.5,1,-0.9,-1.9,-7,0,8.502793659,1,6,0,14.59166429,0,0.435889894,8.502793659,1,0.4
107,25,1,25,65,0.25,9,2,0,Symm,5,0,25,1,,,9,0.75,63,0.015625,64,0.0625,65,0.09375,66,0.0625,67,0.015625,,,,,,,,,0.39,0.39,0.4,0.37,0.32,25,23,25,9,-16,25,67,42,25,55.66666667,-2,-2,-2,30.66666667,1,1,0,-16,0,24.25386567,1,6,0,20.90985945,0,0,24.25386567,1,0.36
108,16,1,16,91,0.2,-11,0,0,-,1,0,16,1,,,-11,0.8,91,0.2,,,,,,,,,,,,,,,,,0.27,0.17,0.23,0.19,0.18,16,9.4,16,-11,-27,16,91,75,16,40,-6.6,-6.6,-6.6,24,1,-0.6,-1.6,-27,0,40.8,1,2,0,51,0,0.8,40.8,1,0.6875
109,11,1,11,26,0.5,-9,0,0,-,1,0,11,1,,,-9,0.5,26,0.5,,,,,,,,,,,,,,,,,0.33,0.41,0.47,0.38,0.4,11,8.5,11,-9,-20,11,26,15,11,8.5,-2.5,-2.5,-2.5,-2.5,1,0,-1,-20,0,17.5,1,2,0,17.5,0,1,17.5,1,0.818181818
110,12,1,12,29,0.8,-35,1,0,L-skew,2,0,12,1,,,-35,0.2,28,0.4,30,0.4,,,,,,,,,,,,,,,0.56,0.72,0.71,0.7,0.77,12,16.2,12,-35,-47,12,30,18,12,7.666666667,4.2,4.2,4.2,-4.333333333,1,0.6,-0.4,-47,0,25.61562023,1,3,0,30.18093585,0,0.8,25.61562023,1,0.342857143
111,28,1,28,47,0.6,-13,0,0,-,1,0,28,1,,,-13,0.4,47,0.6,,,,,,,,,,,,,,,,,0.25,0.41,0.41,0.4,0.39,28,23,28,-13,-41,28,47,19,28,17,-5,-5,-5,-11,1,0.2,-0.8,-41,0,29.39387691,1,2,0,30,0,0.979795897,29.39387691,1,0.464285714
112,-7,1,-7,28,0.2,-18,2,0,Symm,7,0,-7,1,,,-18,0.8,25,0.003125,26,0.01875,27,0.046875,28,0.0625,29,0.046875,30,0.01875,31,0.003125,,,,,0.51,0.36,0.31,0.29,0.26,-7,-8.8,-7,-18,-11,-7,31,38,-7,22.25,-1.8,-1.8,-1.8,29.25,-1,-0.6,0.4,-11,0,18.40815037,1,8,0,15.32767106,0,0.8,18.40815037,1,0.388888889
113,9,0.95,0,37,0.25,-3,1,0,R-skew,6,0,0,0.05,9,0.95,-3,0.75,32,0.125,34,0.0625,38,0.03125,46,0.015625,62,0.0078125,94,0.0078125,,,,,,,0.35,0.37,0.37,0.38,0.37,8.55,7,0,-3,-3,9,94,85,4.5,43.28571429,-1.55,-1.55,-1.55,38.78571429,0.95,-0.5,-1.45,-3,1.961504525,18.30983342,2,7,4.5,27.55106576,0.217944947,0.866025404,16.3483289,1,0
114,72,0.01,-2,112,0.25,-33,0,0,-,1,-1,-2,0.99,72,0.01,-33,0.75,112,0.25,,,,,,,,,,,,,,,,,0.44,0.45,0.4,0.42,0.32,-1.26,3.25,-2,-33,-31,72,112,40,35,39.5,4.51,4.51,4.51,4.5,-0.98,-0.5,0.48,-31,7.362907035,62.78684177,2,2,37,72.5,0.198997487,0.866025404,55.42393474,1,0.060606061
115,50,0.4,5,20,0.8,-17,2,0,Symm,7,0,5,0.6,50,0.4,-17,0.2,17,0.0125,18,0.075,19,0.1875,20,0.25,21,0.1875,22,0.075,23,0.0125,,,,,0.17,0.19,0.23,0.2,0.2,23,12.6,5,-17,-22,50,23,-27,27.5,15.375,-10.4,-10.4,-10.4,-12.125,1,0.6,-0.4,-22,22.04540769,14.84048517,2,8,22.5,12.3787873,0,0.8,-7.204922518,1,0.294117647
116,2,1,2,45,0.05,3,2,0,Symm,5,0,2,1,,,3,0.95,43,0.003125,44,0.0125,45,0.01875,46,0.0125,47,0.003125,,,,,,,,,0.95,0.99,1,1,1,2,5.1,2,3,1,2,47,45,2,38,3.1,3.1,3.1,36,1,1,0,1,0,9.156418514,1,6,0,15.70562532,0,0,9.156418514,1,0.666666667
117,-6,1,-6,7,0.5,-30,0,0,-,1,0,-6,1,,,-30,0.5,7,0.5,,,,,,,,,,,,,,,,,0.33,0.39,0.36,0.35,0.34,-6,-11.5,-6,-30,-24,-6,7,13,-6,-11.5,-5.5,-5.5,-5.5,-5.5,-1,0,1,-24,0,18.5,1,2,0,18.5,0,1,18.5,1,0.2
118,26,1,26,46,0.5,10,1,0,L-skew,6,0,26,1,,,-11,0.015625,10,0.5,21,0.015625,37,0.03125,45,0.0625,49,0.125,51,0.25,,,,,,,0.47,0.56,0.62,0.59,0.57,26,28,26,-11,-37,26,51,25,26,28.85714286,2,2,2,2.857142857,1,0.96875,-0.03125,-37,0,19.86202407,1,7,0,21.47708793,0,0.248039185,19.86202407,1,0.423076923
119,19,0.4,12,100,0.25,-12,1,0,R-skew,2,0,12,0.6,19,0.4,-12,0.75,99,0.125,101,0.125,,,,,,,,,,,,,,,0.33,0.32,0.34,0.34,0.35,14.8,16,12,-12,-24,19,101,82,15.5,62.66666667,1.2,1.2,1.2,47.16666667,1,-0.5,-1.5,-24,3.42928564,48.5,2,3,3.5,52.8036194,0,0.866025404,45.07071436,1,1
120,-9,0.95,-26,-1,0.1,-11,0,0,-,1,0,-26,0.05,-9,0.95,-11,0.9,-1,0.1,,,,,,,,,,,,,,,,,0.57,0.41,0.43,0.46,0.42,-9.85,-10,-26,-11,15,-9,-1,8,-17.5,-6,-0.15,-0.15,-0.15,11.5,-1,-1,0,15,3.705064102,3,2,2,8.5,5,0,0,-0.705064102,-1,0.423076923
121,-8,1,-8,21,0.01,0,2,0,Symm,3,0,-8,1,,,0,0.99,20,0.0025,21,0.005,22,0.0025,,,,,,,,,,,,,0.79,0.95,0.99,1,0.99,-8,0.21,-8,0,8,-8,22,30,-8,15.75,8.21,8.21,8.21,23.75,-1,0.01,1.01,8,0,2.090669749,1,4,0,9.120718173,0,0.099498744,2.090669749,1,0
122,68,0.05,-14,-11,0.9,-36,0,0,-,1,0,-14,0.95,68,0.05,-36,0.1,-11,0.9,,,,,,,,,,,,,,,,,0.36,0.39,0.42,0.46,0.4,-9.9,-13.5,-14,-36,-22,68,-11,-79,27,-23.5,-3.6,-3.6,-3.6,-50.5,-0.9,-1,-0.1,-22,17.87148567,7.5,2,2,41,12.5,0.435889894,0,-10.37148567,1,0.388888889
123,28,0.75,-13,57,0.1,16,0,0,-,1,0,-13,0.25,28,0.75,16,0.9,57,0.1,,,,,,,,,,,,,,,,,0.74,0.64,0.66,0.7,0.63,17.75,20.1,-13,16,29,28,57,29,7.5,36.5,2.35,2.35,2.35,29,0.5,1,0.5,29,17.75352078,12.3,2,2,20.5,20.5,0.866025404,0,-5.453520778,1,0.8125
