Problem,Ha,pHa,La,Hb,pHb,Lb,Manipulation,Amb,LotShape,LotNum,Corr,av1,ap1,av2,ap2,bv1,bp1,bv2,bp2,bv3,bp3,bv4,bp4,bv5,bp5,bv6,bp6,bv7,bp7,bv8,bp8,bv9,bp9,bv10,bp10,B1,B2,B3,B4,B5,evA,evB,minA,minB,dMins,maxA,maxB,dMaxs,UEVa,UEVb,dEV0,dEV,dEVfb,dUniEV,EVsa,EVsb,dSignEV,dMins.1,sdA,sdB,countA,countB,usdA,usdB,ssdA,ssdB,dSD,SignMax,RatioMin,pBetter0,pBetterFB,pBetterU,pBetterS,pBetterSFB,Dom
1,3,1.0,3,4,0.8,0,abstract,0,-,1,0,3,1.0,,,0,0.2,4.0,0.8,,,,,,,,,,,,,,,,,0.4224,0.5712,0.568,0.5952,0.6496,3.0,3.2,3,0,-3,3,4,1,3.0,2.0,0.2,0.2,0.2,-1.0,1.0,0.8,-0.2,-3,0.0,1.6,1,2,0.0,2.0,0.0,0.4,1.6,1,0.0,-0.0909090909090909,-0.9999999999999996,0.3939393939393941,0.3939393939393941,6.9999999999999885,1
2,3,0.25,0,4,0.2,0,abstract,0,-,1,0,0,0.75,3.0,0.25,0,0.8,4.0,0.2,,,,,,,,,,,,,,,,,0.6128,0.616,0.6208,0.6384,0.616,0.75,0.8,0,0,0,3,4,1,1.5,2.0,0.05,0.05,0.05,0.5,0.25,0.2,-0.05,0,1.299038106,1.6,2,2,1.5,2.0,0.433012702,0.4,0.300961894,1,1.0,-0.1313131313131313,-0.5789473684210527,-0.6969696969696964,0.8787878787878773,1.4210526315789462,1
3,-1,1.0,-1,0,0.5,-2,abstract,0,-,1,0,-1,1.0,,,-2,0.5,0.0,0.5,,,,,,,,,,,,,,,,,0.5792,0.6032,0.5984,0.5776,0.5632,-1.0,-1.0,-1,-2,-1,-1,0,1,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,0.5,-1,0.0,1.0,1,2,0.0,1.0,0.0,0.5,1.0,0,0.5,-3.122502256758253e-17,0.0526315789473684,-3.122502256758253e-17,-0.6969696969696964,-12.999999999999956,1
4,1,1.0,1,2,0.5,0,abstract,0,-,1,0,1,1.0,,,0,0.5,2.0,0.5,,,,,,,,,,,,,,,,,0.3536,0.5072,0.536,0.496,0.5392,1.0,1.0,1,0,-1,1,2,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,-0.5,-1,0.0,1.0,1,2,0.0,1.0,0.0,0.5,1.0,1,0.0,-3.122502256758253e-17,0.0526315789473684,-3.122502256758253e-17,0.6969696969696964,12.999999999999956,1
5,-3,1.0,-3,0,0.2,-4,abstract,0,-,1,0,-3,1.0,,,-4,0.8,0.0,0.2,,,,,,,,,,,,,,,,,0.4928,0.464,0.416,0.3824,0.3568,-3.0,-3.2,-3,-4,-1,-3,0,3,-3.0,-2.0,-0.2,-0.2,-0.2,1.0,-1.0,-0.8,0.2,-1,0.0,1.6,1,2,0.0,2.0,0.0,0.4,1.6,0,0.75,0.0909090909090908,0.9999999999999996,-0.3939393939393942,-0.3939393939393942,-6.9999999999999885,1
6,0,0.75,-3,0,0.8,-4,abstract,0,-,1,0,-3,0.25,0.0,0.75,-4,0.2,0.0,0.8,,,,,,,,,,,,,,,,,0.3824,0.4016,0.3968,0.424,0.4064,-0.75,-0.8,-3,-4,-1,0,0,0,-1.5,-2.0,-0.05,-0.05,-0.05,-0.5,-0.25,-0.2,0.05,-1,1.299038106,1.6,2,2,1.5,2.0,0.433012702,0.4,0.300961894,0,0.75,0.1313131313131312,0.5789473684210524,0.6969696969696964,-0.8787878787878773,-1.4210526315789465,1
7,-1,1.0,-1,0,0.95,-20,abstract,0,-,1,0,-1,1.0,,,-20,0.05,0.0,0.95,,,,,,,,,,,,,,,,,0.4784,0.6288,0.6192,0.6224,0.6384,-1.0,-1.0,-1,-20,-19,-1,0,1,-1.0,-10.0,0.0,0.0,0.0,-9.0,-1.0,-0.05,0.95,-19,0.0,4.358898944,1,2,0.0,10.0,0.0,0.217944947,4.358898944,0,0.05,-3.122502256758253e-17,0.0526315789473684,0.636363636363636,-0.999999999999998,-19.000000000000025,1
8,1,1.0,1,20,0.05,0,abstract,0,-,1,0,1,1.0,,,0,0.95,20.0,0.05,,,,,,,,,,,,,,,,,0.3872,0.3824,0.328,0.336,0.2896,1.0,1.0,1,0,-1,1,20,19,1.0,10.0,0.0,0.0,0.0,9.0,1.0,0.05,-0.95,-1,0.0,4.358898944,1,2,0.0,10.0,0.0,0.217944947,4.358898944,1,0.0,-3.122502256758253e-17,0.0526315789473684,-0.636363636363636,0.999999999999998,19.000000000000025,1
9,1,1.0,1,100,0.01,0,abstract,0,-,1,0,1,1.0,,,0,0.99,100.0,0.01,,,,,,,,,,,,,,,,,0.4656,0.3984,0.3888,0.3904,0.3856,1.0,1.0,1,0,-1,1,100,99,1.0,50.0,0.0,0.0,0.0,49.0,1.0,0.01,-0.99,-1,0.0,9.949874371,1,2,0.0,50.0,0.0,0.099498744,9.949874371,1,0.0,-3.122502256758253e-17,0.0526315789473684,-0.6767676767676762,0.999999999999998,19.000000000000025,1
10,2,1.0,2,101,0.01,1,abstract,0,-,1,0,2,1.0,,,1,0.99,101.0,0.01,,,,,,,,,,,,,,,,,0.5456,0.4544,0.4336,0.424,0.416,2.0,2.0,2,1,-1,2,101,99,2.0,51.0,0.0,0.0,0.0,49.0,1.0,1.0,0.0,-1,0.0,9.949874371,1,2,0.0,50.0,0.0,0.0,9.949874371,1,0.5,-3.122502256758253e-17,0.0526315789473684,-0.6767676767676762,0.0,-1.1102230246251563e-16,1
