,Problem,Ha,pHa,La,Hb,pHb,Lb,Manipulation,Amb,LotShape,LotNum,Corr,av1,ap1,av2,ap2,bv1,bp1,bv2,bp2,bv3,bp3,bv4,bp4,bv5,bp5,bv6,bp6,bv7,bp7,bv8,bp8,bv9,bp9,bv10,bp10,B1,B2,B3,B4,B5,evA,evB,minA,minB,dMins,maxA,maxB,dMaxs,UEVa,UEVb,dEV0,dEV,dEVfb,dUniEV,EVsa,EVsb,dSignEV,dMins.1,sdA,sdB,countA,countB,usdA,usdB,ssdA,ssdB,dSD,SignMax,RatioMin,pBetter0,pBetterFB,pBetterU,pBetterS,pBetterSFB,Dom
0,1,3,1.0,3,4,0.8,0,abstract,0,-,1,0,3,1.0,,,0,0.2,4.0,0.8,,,,,,,,,,,,,,,,,0.4224,0.5712,0.568,0.5952,0.6496,3.0,3.2,3,0,-3,3,4,1,3.0,2.0,0.2,0.2,0.2,-1.0,1.0,0.8,-0.2,-3,0.0,1.6,1,2,0.0,2.0,0.0,0.4,1.6,1,0.0,-0.09090909090909094,-0.9999999999999996,0.3939393939393941,0.3939393939393941,6.9999999999999885,1
1,2,3,0.25,0,4,0.2,0,abstract,0,-,1,0,0,0.75,3.0,0.25,0,0.8,4.0,0.2,,,,,,,,,,,,,,,,,0.6128,0.616,0.6208,0.6384,0.616,0.75,0.8,0,0,0,3,4,1,1.5,2.0,0.05,0.05,0.05,0.5,0.25,0.2,-0.05,0,1.299038106,1.6,2,2,1.5,2.0,0.433012702,0.4,0.300961894,1,1.0,-0.13131313131313133,-0.5789473684210527,-0.6969696969696964,0.8787878787878773,1.4210526315789462,1
2,3,-1,1.0,-1,0,0.5,-2,abstract,0,-,1,0,-1,1.0,,,-2,0.5,0.0,0.5,,,,,,,,,,,,,,,,,0.5792,0.6032,0.5984,0.5776,0.5632,-1.0,-1.0,-1,-2,-1,-1,0,1,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,0.5,-1,0.0,1.0,1,2,0.0,1.0,0.0,0.5,1.0,0,0.5,-3.122502256758253e-17,0.05263157894736842,-3.122502256758253e-17,-0.6969696969696964,-12.999999999999957,1
3,4,1,1.0,1,2,0.5,0,abstract,0,-,1,0,1,1.0,,,0,0.5,2.0,0.5,,,,,,,,,,,,,,,,,0.3536,0.5072,0.536,0.496,0.5392,1.0,1.0,1,0,-1,1,2,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,-0.5,-1,0.0,1.0,1,2,0.0,1.0,0.0,0.5,1.0,1,0.0,-3.122502256758253e-17,0.05263157894736842,-3.122502256758253e-17,0.6969696969696964,12.999999999999957,1
4,5,-3,1.0,-3,0,0.2,-4,abstract,0,-,1,0,-3,1.0,,,-4,0.8,0.0,0.2,,,,,,,,,,,,,,,,,0.4928,0.464,0.416,0.3824,0.3568,-3.0,-3.2,-3,-4,-1,-3,0,3,-3.0,-2.0,-0.2,-0.2,-0.2,1.0,-1.0,-0.8,0.2,-1,0.0,1.6,1,2,0.0,2.0,0.0,0.4,1.6,0,0.75,0.09090909090909083,0.9999999999999996,-0.3939393939393942,-0.3939393939393942,-6.9999999999999885,1
5,6,0,0.75,-3,0,0.8,-4,abstract,0,-,1,0,-3,0.25,0.0,0.75,-4,0.2,0.0,0.8,,,,,,,,,,,,,,,,,0.3824,0.4016,0.3968,0.424,0.4064,-0.75,-0.8,-3,-4,-1,0,0,0,-1.5,-2.0,-0.05,-0.05,-0.05,-0.5,-0.25,-0.2,0.05,-1,1.299038106,1.6,2,2,1.5,2.0,0.433012702,0.4,0.300961894,0,0.75,0.13131313131313122,0.5789473684210524,0.6969696969696964,-0.8787878787878773,-1.4210526315789465,1
6,7,-1,1.0,-1,0,0.95,-20,abstract,0,-,1,0,-1,1.0,,,-20,0.05,0.0,0.95,,,,,,,,,,,,,,,,,0.4784,0.6288,0.6192,0.6224,0.6384,-1.0,-1.0,-1,-20,-19,-1,0,1,-1.0,-10.0,0.0,0.0,0.0,-9.0,-1.0,-0.05,0.95,-19,0.0,4.358898944,1,2,0.0,10.0,0.0,0.217944947,4.358898944,0,0.05,-3.122502256758253e-17,0.05263157894736842,0.636363636363636,-0.999999999999998,-19.000000000000025,1
7,8,1,1.0,1,20,0.05,0,abstract,0,-,1,0,1,1.0,,,0,0.95,20.0,0.05,,,,,,,,,,,,,,,,,0.3872,0.3824,0.328,0.336,0.2896,1.0,1.0,1,0,-1,1,20,19,1.0,10.0,0.0,0.0,0.0,9.0,1.0,0.05,-0.95,-1,0.0,4.358898944,1,2,0.0,10.0,0.0,0.217944947,4.358898944,1,0.0,-3.122502256758253e-17,0.05263157894736842,-0.636363636363636,0.999999999999998,19.000000000000025,1
8,9,1,1.0,1,100,0.01,0,abstract,0,-,1,0,1,1.0,,,0,0.99,100.0,0.01,,,,,,,,,,,,,,,,,0.4656,0.3984,0.3888,0.3904,0.3856,1.0,1.0,1,0,-1,1,100,99,1.0,50.0,0.0,0.0,0.0,49.0,1.0,0.01,-0.99,-1,0.0,9.949874371,1,2,0.0,50.0,0.0,0.099498744,9.949874371,1,0.0,-3.122502256758253e-17,0.05263157894736842,-0.6767676767676762,0.999999999999998,19.000000000000025,1
9,10,2,1.0,2,101,0.01,1,abstract,0,-,1,0,2,1.0,,,1,0.99,101.0,0.01,,,,,,,,,,,,,,,,,0.5456,0.4544,0.4336,0.424,0.416,2.0,2.0,2,1,-1,2,101,99,2.0,51.0,0.0,0.0,0.0,49.0,1.0,1.0,0.0,-1,0.0,9.949874371,1,2,0.0,50.0,0.0,0.0,9.949874371,1,0.5,-3.122502256758253e-17,0.05263157894736842,-0.6767676767676762,0.0,-1.1102230246251565e-16,1
10,11,19,1.0,19,20,0.9,-20,abstract,0,-,1,0,19,1.0,,,-20,0.1,20.0,0.9,,,,,,,,,,,,,,,,,0.1328,0.2192,0.208,0.1968,0.2064,19.0,16.0,19,-20,-39,19,20,1,19.0,0.0,-3.0,-3.0,-3.0,-19.0,1.0,0.8,-0.2,-39,0.0,12.0,1,2,0.0,20.0,0.0,0.6,12.0,1,0.95,0.19191919191919188,3.0000000000000013,0.6565656565656561,0.27272727272727276,4.999999999999999,1
11,12,0,1.0,0,50,0.5,-50,abstract,0,-,1,0,0,1.0,,,-50,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.3376,0.4128,0.4304,0.4352,0.3808,0.0,0.0,0,-50,-50,0,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50,0.0,50.0,1,2,0.0,50.0,0.0,1.0,50.0,1,0.0,-3.122502256758253e-17,0.05263157894736842,-3.122502256758253e-17,-3.122502256758253e-17,0.05263157894736842,1
12,13,0,1.0,0,50,0.5,-50,AcRj,0,-,1,0,0,1.0,,,-50,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.3616,0.3696,0.4,0.3712,0.36,0.0,0.0,0,-50,-50,0,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50,0.0,50.0,1,2,0.0,50.0,0.0,1.0,50.0,1,0.0,-3.122502256758253e-17,0.05263157894736842,-3.122502256758253e-17,-3.122502256758253e-17,0.05263157894736842,1
13,14,0,1.0,0,1,0.5,-1,abstract,0,-,1,0,0,1.0,,,-1,0.5,1.0,0.5,,,,,,,,,,,,,,,,,0.4912,0.4512,0.4208,0.4064,0.376,0.0,0.0,0,-1,-1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1.0,1,2,0.0,1.0,0.0,1.0,1.0,1,0.0,-3.122502256758253e-17,0.05263157894736842,-3.122502256758253e-17,-3.122502256758253e-17,0.05263157894736842,1
14,15,7,1.0,7,50,0.5,1,abstract,0,-,1,0,7,1.0,,,1,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.7824,0.8432,0.8784,0.8288,0.8464,7.0,25.5,7,1,-6,7,50,43,7.0,25.5,18.5,18.5,18.5,18.5,1.0,1.0,0.0,-6,0.0,24.5,1,2,0.0,24.5,0.0,0.0,24.5,1,0.142857143,-0.5555555555555556,-10.999999999999968,-0.5555555555555556,0.0,-1.1102230246251565e-16,1
15,16,7,1.0,7,50,0.5,-1,abstract,0,-,1,0,7,1.0,,,-1,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.7072,0.7904,0.8128,0.832,0.8304,7.0,24.5,7,-1,-8,7,50,43,7.0,24.5,17.5,17.5,17.5,17.5,1.0,0.0,-1.0,-8,0.0,25.5,1,2,0.0,25.5,0.0,1.0,25.5,1,0.142857143,-0.5151515151515154,-10.999999999999968,-0.5151515151515154,0.6969696969696964,12.999999999999957,1
16,17,30,1.0,30,50,0.5,1,abstract,0,-,1,0,30,1.0,,,1,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.2384,0.3296,0.3248,0.304,0.2896,30.0,25.5,30,1,-29,30,50,20,30.0,25.5,-4.5,-4.5,-4.5,-4.5,1.0,1.0,0.0,-29,0.0,24.5,1,2,0.0,24.5,0.0,0.0,24.5,1,0.033333333,0.15151515151515144,3.0000000000000013,0.15151515151515144,0.0,-1.1102230246251565e-16,1
17,18,30,1.0,30,50,0.5,-1,abstract,0,-,1,0,30,1.0,,,-1,0.5,50.0,0.5,,,,,,,,,,,,,,,,,0.232,0.328,0.4032,0.3328,0.3328,30.0,24.5,30,-1,-31,30,50,20,30.0,24.5,-5.5,-5.5,-5.5,-5.5,1.0,0.0,-1.0,-31,0.0,25.5,1,2,0.0,25.5,0.0,1.0,25.5,1,0.033333333,0.17171717171717166,3.0000000000000013,0.17171717171717166,0.6969696969696964,12.999999999999957,1
18,19,9,1.0,9,9,1.0,9,StPb,0,R-skew,8,0,9,1.0,,,2,0.5,4.0,0.25,8.0,0.125,16.0,0.0625,32.0,0.03125,64.0,0.015625,128.0,0.0078125,256.0,0.0078125,,,,,0.3648,0.3872,0.3568,0.3088,0.2976,9.0,9.0,9,2,-7,9,256,247,9.0,63.75,0.0,0.0,0.0,54.75,1.0,1.0,0.0,-7,0.0,26.17250466,1,8,0.0,82.8156839,0.0,0.0,26.17250466,1,0.222222222,-3.122502256758253e-17,0.05263157894736842,-0.4949494949494953,0.0,-1.1102230246251565e-16,1
